,Tanggal,Subuh,Dzuhur,Ashar,Maghrib,Isya
0,01,4:16,11:46,15:13,17:53,19:08
1,02,4:16,11:47,15:13,17:53,19:08
2,03,4:17,11:47,15:13,17:53,19:08
3,04,4:17,11:47,15:13,17:53,19:08
4,05,4:17,11:47,15:13,17:53,19:08
5,06,4:17,11:47,15:13,17:53,19:08
6,07,4:18,11:47,15:13,17:54,19:08
7,08,4:18,11:48,15:13,17:54,19:08
8,09,4:18,11:48,15:13,17:54,19:08
9,10,4:18,11:48,15:14,17:54,19:09
10,11,4:19,11:48,15:14,17:54,19:09
11,13,4:19,11:48,15:14,17:54,19:09
12,14,4:19,11:48,15:14,17:54,19:09
13,15,4:20,11:49,15:14,17:54,19:09
14,16,4:20,11:49,15:14,17:55,19:09
15,17,4:20,11:49,15:14,17:55,19:09
16,18,4:20,11:49,15:14,17:55,19:09
17,19,4:20,11:49,15:14,17:55,19:09
18,20,4:21,11:49,15:14,17:55,19:08
19,21,4:21,11:49,15:13,17:55,19:08
20,22,4:21,11:49,15:13,17:55,19:08
21,23,4:21,11:49,15:13,17:55,19:08
22,24,4:21,11:49,15:13,17:55,19:08
23,25,4:22,11:49,15:13,17:55,19:08
24,26,4:22,11:49,15:13,17:55,19:08
25,27,4:22,11:49,15:13,17:55,19:08
26,28,4:22,11:49,15:13,17:55,19:08
27,29,4:22,11:49,15:12,17:55,19:07
28,30,4:22,11:49,15:12,17:55,19:07
29,31,4:22,11:49,15:12,17:54,19:07
